angle01,angle02,angle03,angle11,angle12,angle13,angle21,angle22,angle23,angle31,angle32,angle33,angle41,angle42,angle43,label_id
0.72,0.93,0.91,0.9,0.97,0.98,0.96,0.98,0.99,0.93,0.98,1,0.89,0.97,0.99,0
0.78,0.93,0.91,0.91,0.97,0.98,0.97,0.97,0.98,0.95,0.98,0.99,0.91,0.97,0.99,0
0.78,0.93,0.91,0.92,0.96,0.98,0.97,0.97,0.98,0.95,0.98,1,0.92,0.97,0.99,0
0.79,0.92,0.92,0.91,0.96,0.98,0.97,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.99,0
0.8,0.93,0.91,0.92,0.97,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.92,0.97,0.99,0
0.8,0.93,0.92,0.92,0.96,0.98,0.97,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.99,0
0.81,0.93,0.92,0.92,0.96,0.98,0.98,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.98,0
0.81,0.93,0.92,0.92,0.96,0.98,0.97,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.98,0
0.8,0.93,0.95,0.92,0.96,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.92,0.98,0.99,0
0.79,0.94,0.96,0.91,0.97,0.98,0.97,0.97,0.98,0.95,0.98,0.99,0.91,0.97,0.99,0
0.79,0.93,0.98,0.91,0.96,0.98,0.97,0.97,0.98,0.95,0.97,0.99,0.91,0.97,0.99,0
0.79,0.94,0.97,0.91,0.96,0.98,0.97,0.97,0.98,0.95,0.97,0.99,0.91,0.97,0.99,0
0.79,0.94,0.98,0.91,0.96,0.98,0.97,0.96,0.98,0.96,0.97,0.99,0.91,0.96,0.99,0
0.79,0.94,0.98,0.91,0.96,0.98,0.97,0.96,0.98,0.96,0.97,0.99,0.91,0.96,0.99,0
0.78,0.94,0.98,0.91,0.96,0.98,0.97,0.96,0.98,0.96,0.96,0.99,0.92,0.96,0.99,0
0.79,0.95,0.98,0.91,0.97,0.98,0.97,0.97,0.98,0.96,0.96,0.99,0.92,0.97,0.99,0
0.78,0.94,0.98,0.91,0.97,0.98,0.97,0.97,0.98,0.96,0.97,0.99,0.92,0.97,0.99,0
0.78,0.94,0.98,0.9,0.97,0.99,0.97,0.97,0.98,0.96,0.97,0.99,0.91,0.97,0.99,0
0.79,0.94,0.99,0.91,0.96,0.98,0.97,0.96,0.98,0.94,0.96,0.99,0.9,0.96,0.99,0
0.81,0.93,0.97,0.91,0.96,0.98,0.97,0.96,0.98,0.94,0.96,0.99,0.9,0.96,0.99,0
0.81,0.93,0.97,0.92,0.97,0.99,0.98,0.97,0.98,0.94,0.97,0.99,0.9,0.97,0.99,0
0.81,0.93,0.97,0.92,0.97,0.99,0.97,0.97,0.98,0.94,0.97,0.99,0.92,0.98,0.99,0
0.82,0.93,0.96,0.92,0.97,0.99,0.97,0.97,0.98,0.96,0.98,0.99,0.94,0.98,0.99,0
0.82,0.93,0.97,0.91,0.97,0.99,0.97,0.97,0.98,0.96,0.98,0.99,0.94,0.98,0.99,0
0.81,0.94,0.98,0.91,0.97,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.94,0.98,0.99,0
0.81,0.92,0.99,0.88,0.96,0.98,0.95,0.97,0.97,0.97,0.98,0.98,0.93,0.97,0.99,0
0.78,0.91,0.95,0.88,0.96,0.97,0.95,0.96,0.97,0.97,0.97,0.98,0.93,0.97,0.99,0
0.78,0.91,0.96,0.88,0.97,0.97,0.94,0.97,0.97,0.97,0.97,0.98,0.93,0.97,0.99,0
0.78,0.91,0.95,0.88,0.97,0.97,0.94,0.97,0.97,0.97,0.97,0.98,0.93,0.97,0.99,0
0.78,0.92,0.96,0.89,0.96,0.97,0.95,0.96,0.96,0.97,0.97,0.97,0.93,0.97,0.99,0
0.78,0.91,0.97,0.89,0.97,0.97,0.95,0.97,0.97,0.97,0.98,0.98,0.93,0.97,0.99,0
0.78,0.91,0.97,0.89,0.96,0.97,0.96,0.97,0.97,0.97,0.98,0.98,0.93,0.97,0.99,0
0.79,0.92,0.98,0.9,0.96,0.97,0.96,0.97,0.97,0.96,0.98,0.98,0.93,0.97,0.99,0
0.81,0.93,0.98,0.89,0.97,0.97,0.96,0.97,0.97,0.96,0.98,0.98,0.92,0.97,0.99,0
0.81,0.96,0.99,0.91,0.97,0.98,0.96,0.98,0.98,0.96,0.98,0.99,0.92,0.97,0.99,0
0.81,0.96,0.99,0.91,0.97,0.98,0.97,0.98,0.98,0.96,0.98,0.99,0.91,0.97,0.99,0
0.8,0.96,0.99,0.92,0.97,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.91,0.97,0.99,0
0.81,0.94,0.98,0.93,0.97,0.98,0.98,0.97,0.98,0.96,0.98,0.99,0.93,0.97,0.99,0
0.8,0.94,0.95,0.94,0.97,0.98,0.97,0.98,0.98,0.96,0.98,0.99,0.94,0.98,0.99,0
0.79,0.95,0.97,0.92,0.97,0.98,0.97,0.97,0.98,0.96,0.98,0.99,0.93,0.97,0.99,0
0.78,0.95,0.98,0.92,0.96,0.97,0.97,0.97,0.98,0.96,0.98,0.99,0.92,0.97,0.99,0
0.79,0.94,0.99,0.93,0.96,0.98,0.97,0.97,0.98,0.95,0.98,0.99,0.92,0.97,0.99,0
0.79,0.95,0.99,0.93,0.96,0.97,0.96,0.96,0.98,0.96,0.97,0.98,0.91,0.94,0.97,0
0.81,0.94,0.99,0.92,0.96,0.98,0.96,0.97,0.98,0.96,0.96,0.98,0.89,0.92,0.94,0
0.81,0.94,0.99,0.93,0.97,0.98,0.97,0.97,0.98,0.96,0.97,0.98,0.89,0.93,0.96,0
0.81,0.94,0.99,0.93,0.97,0.98,0.96,0.97,0.98,0.96,0.97,0.98,0.89,0.94,0.96,0
